City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
29,saint george,37.1041,-113.5841,38.62,48,0,3.44,US,1671301261
30,yellowknife,62.456,-114.3525,-16.08,76,75,6.91,CA,1671301905
31,vaini,-21.2,-175.2,71.76,100,20,1.14,TO,1671302001
32,albany,42.6001,-73.9662,39.34,73,12,8.9,US,1671302002
33,fershampenuaz,53.5202,59.8117,18.63,96,100,4.54,RU,1671301945
34,busselton,-33.65,115.3333,61.56,75,55,13.67,AU,1671302005
35,rikitea,-23.1203,-134.9692,75.22,81,100,7.87,PF,1671302007
36,colon,9.3592,-79.9014,86.45,70,45,5.99,PA,1671301945
37,adrar,20.5022,-10.0711,74.64,24,98,10.8,MR,1671302010
38,taoudenni,22.6783,-3.9836,77.36,21,8,8.88,ML,1671302011
39,punta arenas,-53.15,-70.9167,55.51,44,0,23.02,CL,1671301819
40,antalaha,-14.9003,50.2788,73.47,83,14,4.34,MG,1671302014
41,bredasdorp,-34.5322,20.0403,67.28,81,100,11.39,ZA,1671302015
42,touros,-5.1989,-35.4608,81.39,68,48,13.09,BR,1671302017
43,dikson,73.5069,80.5464,8.13,91,100,19.37,RU,1671302018
44,nouadhibou,20.931,-17.0347,73.38,64,6,11.5,MR,1671302020
45,zyryanka,65.75,150.85,-23.94,96,100,16.06,RU,1671302021
46,carinhanha,-14.3047,-43.765,71.94,91,99,6.08,BR,1671302022
47,butaritari,3.0707,172.7902,81.63,77,29,9.51,KI,1671302024
48,baherden,38.4362,57.4316,47.52,56,91,2.15,TM,1671302025
49,torbay,47.6666,-52.7314,35.58,95,100,17.27,CA,1671302027
50,narsaq,60.9167,-46.05,12.42,68,10,5.95,GL,1671302028
51,urumqi,43.801,87.6005,0.55,85,0,6.71,CN,1671302030
52,harper,4.375,-7.7169,79.36,79,5,5.66,LR,1671302031
53,tuatapere,-46.1333,167.6833,53.06,95,100,5.08,NZ,1671302032
54,ambilobe,-13.2,49.05,74.44,88,95,4.81,MG,1671302034
55,quatre cocos,-20.2078,57.7625,78.1,76,100,14.09,MU,1671302035
56,castro,-24.7911,-50.0119,67.6,79,74,2.13,BR,1671302036
