City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
184,keetmanshoop,-26.5833,18.1333,63.57,71,0,14.65,NA,1671240431
185,asahikawa,43.7678,142.3703,24.01,68,75,11.5,JP,1671240433
186,dongobesh,-4.0667,35.3833,53.87,94,45,3.47,TZ,1671240434
187,baoqing,46.3317,132.2111,-0.42,67,92,2.42,CN,1671240436
188,kyren,51.6828,102.1408,2.68,87,100,1.48,RU,1671240437
189,funadhoo,6.15,73.2667,81.21,70,100,9.53,MV,1671240438
190,turukhansk,65.8167,87.9833,-4.09,99,100,6.91,RU,1671240440
191,poum,-20.2333,164.0167,80.91,67,7,0.78,NC,1671240441
192,narrabri,-30.3167,149.7833,77.52,40,0,4.0,AU,1671240443
193,souillac,-20.5167,57.5167,75.58,78,40,6.91,MU,1671240444
194,yatou,37.15,122.3833,24.35,58,21,22.73,CN,1671240445
195,lixourion,38.2019,20.4314,64.38,85,13,22.84,GR,1671240447
196,boca do acre,-8.7522,-67.3978,72.01,100,100,2.59,BR,1671240448
197,olafsvik,64.8945,-23.7142,26.82,95,100,26.13,IS,1671240449
198,lavrentiya,65.5833,-171.0,14.27,86,100,7.96,RU,1671240451
199,pevek,69.7008,170.3133,22.1,75,100,23.85,RU,1671240452
200,ancud,-41.8697,-73.8203,54.23,80,56,4.56,CL,1671240453
201,comodoro rivadavia,-45.8667,-67.5,69.66,46,0,0.0,AR,1671240455
202,filadelfia,39.9523,-75.1638,43.97,82,100,11.5,US,1671240370
203,svetlogorsk,52.6333,29.7333,32.18,99,100,5.88,BY,1671240457
204,kapaa,22.0752,-159.319,77.32,84,20,10.36,US,1671240458
205,valeggio sul mincio,45.3523,10.7367,42.53,96,75,5.75,IT,1671240460
206,sibu,2.3,111.8167,82.71,78,40,4.61,MY,1671240461
207,brora,58.0099,-3.8518,33.89,91,100,9.91,GB,1671240462
208,bonthe,7.5264,-12.505,78.44,81,0,6.87,SL,1671240464
209,jawhar,2.7809,45.5005,71.04,89,0,8.63,SO,1671240465
210,georgetown,5.4112,100.3354,80.89,90,20,5.75,MY,1671240466
211,neiafu,-18.65,-173.9833,83.08,78,40,11.5,TO,1671240468
212,kimbe,-5.5502,150.1429,86.83,67,98,3.49,PG,1671240469
213,sur,22.5667,59.5289,72.28,54,4,5.03,OM,1671240470
214,saskylakh,71.9167,114.0833,-35.63,100,55,5.01,RU,1671240472
215,kotma,23.2,81.9667,50.09,62,4,2.95,IN,1671240473
216,dikson,73.5069,80.5464,11.91,94,100,19.19,RU,1671240475
217,norman wells,65.282,-126.8329,-9.36,84,75,8.05,CA,1671240476
218,sarakhs,36.5449,61.1577,49.82,36,100,4.36,IR,1671240477
219,qaanaaq,77.484,-69.3632,2.1,71,98,9.28,GL,1671240479
220,ambulu,-8.345,113.6058,79.74,83,94,2.44,ID,1671240480
221,saint-francois,46.4154,3.9054,18.84,93,3,0.0,FR,1671240209
222,zhuanghe,39.7008,122.9911,13.42,49,12,15.86,CN,1671240483
223,yining,29.0361,114.5636,37.72,37,100,8.34,CN,1671240484
224,yumen,40.2833,97.2,5.31,57,0,4.38,CN,1671240485
225,patnos,39.2336,42.8634,30.49,82,6,2.98,TR,1671240487
226,bambous virieux,-20.3428,57.7575,76.21,78,40,6.91,MU,1671240488
227,kasongo-lunda,-6.4667,16.8167,68.22,97,100,0.67,CD,1671240489
228,kitimat,54.0524,-128.6534,28.9,30,100,1.23,CA,1671240491
229,deputatskiy,69.3,139.9,-30.32,98,89,2.73,RU,1671240492
230,fairbanks,64.8378,-147.7164,-18.06,74,75,3.44,US,1671240493
231,kavaratti,10.5669,72.642,80.74,66,77,5.5,IN,1671240495
232,danshui,22.7984,114.4672,49.46,71,100,25.9,CN,1671240496
233,la macarena,2.1837,-73.7849,73.56,88,100,1.74,CO,1671240497
234,ozernovskiy,51.5,156.5167,25.95,78,89,8.84,RU,1671240499
235,aklavik,68.2191,-135.0107,-0.63,83,100,19.8,CA,1671240500
236,vao,-22.6667,167.4833,77.81,67,1,9.42,NC,1671240502
237,plaster rock,46.9065,-67.39,31.59,81,98,12.35,CA,1671240503
238,ulladulla,-35.35,150.4667,62.91,57,95,15.26,AU,1671240504
239,katsuura,35.1333,140.3,52.09,78,100,9.51,JP,1671240506
240,lanzhou,36.0564,103.7922,15.3,48,0,1.23,CN,1671240507
241,tianpeng,30.9866,103.9393,41.47,33,39,2.62,CN,1671240508
242,cidreira,-30.1811,-50.2056,66.92,66,0,10.33,BR,1671240510
243,ketchikan,55.3422,-131.6461,39.18,100,100,0.0,US,1671240511
244,doka,13.5167,35.7667,72.46,41,5,8.23,SD,1671240512
245,ingham,42.6,-84.3833,31.23,83,100,10.36,US,1671240514
246,touros,-5.1989,-35.4608,78.37,77,5,13.06,BR,1671240227
247,nouadhibou,20.931,-17.0347,67.98,68,1,14.97,MR,1671240516
248,mgandu,-5.95,34.1333,63.01,79,99,2.55,TZ,1671240518
249,ladovskaya balka,45.6297,41.4023,43.74,78,99,5.3,RU,1671240519
250,carutapera,-1.195,-46.02,77.97,78,69,6.67,BR,1671240520
251,leningradskiy,69.3833,178.4167,21.85,90,100,5.44,RU,1671240522
252,ligayan,4.6533,119.4706,81.1,82,93,10.76,PH,1671240523
253,miles city,46.4083,-105.8406,18.57,79,0,6.91,US,1671240524
254,los llanos de aridane,28.6585,-17.9182,58.75,72,0,5.75,ES,1671240526
255,goderich,43.7501,-81.7165,32.92,93,100,9.22,CA,1671240527
256,itarema,-2.9248,-39.9167,79.41,75,11,12.84,BR,1671240528
257,bilma,18.6853,12.9164,69.49,27,96,5.19,NE,1671240530
258,nizhneivkino,58.194,49.5214,13.05,96,92,7.38,RU,1671240531
259,ixtapa,20.7,-105.2,74.43,69,100,5.75,MX,1671240532
260,gao,16.6362,1.637,68.67,15,0,11.99,ML,1671240534
261,mweka,-4.85,21.5667,67.5,99,100,0.31,CD,1671240535
262,toora-khem,52.4675,96.11,-19.61,100,76,0.87,RU,1671240536
263,hofn,64.2539,-15.2082,19.85,56,68,10.27,IS,1671240538
264,pathardi,19.1667,75.1833,70.57,77,48,5.57,IN,1671240539
265,khatanga,71.9667,102.5,-1.37,97,100,6.33,RU,1671240541
266,bealanana,-14.55,48.7333,64.02,97,99,1.28,MG,1671240542
267,fort nelson,58.8053,-122.7002,2.79,78,100,11.5,CA,1671240543
268,rosario do sul,-30.2583,-54.9142,67.55,44,0,17.81,BR,1671240545
269,san patricio,28.017,-97.5169,69.66,74,100,4.7,US,1671240546
270,japura,-0.3167,102.35,76.59,91,100,0.51,ID,1671240547
271,gebre guracha,9.8,38.4,53.13,75,97,2.75,ET,1671240549
272,lookan,5.037,120.1027,81.9,77,69,6.51,PH,1671240550
273,teya,60.3778,92.6267,-19.89,100,49,4.12,RU,1671240552
274,abu dhabi,24.4667,54.3667,72.97,75,0,0.0,AE,1671240468
275,puerto escondido,15.85,-97.0667,79.63,69,0,0.0,MX,1671240554
276,makakilo city,21.3469,-158.0858,79.61,58,100,6.91,US,1671240555
277,oistins,13.0667,-59.5333,79.52,73,20,18.41,BB,1671240557
278,awjilah,29.1081,21.2869,63.72,41,0,8.75,LY,1671240558
279,shimoda,34.6667,138.95,52.16,56,89,4.5,JP,1671240559
280,providencia,28.7167,-111.5833,62.2,47,65,11.77,MX,1671240561
281,vanavara,60.34,102.2797,0.72,91,100,7.96,RU,1671240562
282,lata,40.1629,-8.3327,54.07,97,97,2.28,PT,1671240564
283,omboue,-1.5746,9.2618,73.54,96,100,3.38,GA,1671240565
284,hambantota,6.1241,81.1185,71.94,100,20,3.44,LK,1671240566
285,moose factory,51.2585,-80.6094,31.98,86,100,11.5,CA,1671240568
286,lebu,-37.6167,-73.65,57.52,84,0,18.79,CL,1671240569
287,nome,64.5011,-165.4064,17.67,46,0,16.11,US,1671240324
288,brigantine,39.4101,-74.3646,44.8,82,100,10.36,US,1671240572
289,narsaq,60.9167,-46.05,12.42,66,11,6.69,GL,1671240573
290,ranfurly,-45.1333,170.1,69.1,67,42,6.15,NZ,1671240574
291,kosikha,53.3617,84.5822,-4.2,93,5,3.71,RU,1671240576
292,kabakovo,54.5369,56.1517,25.09,86,100,6.71,RU,1671240577
293,samarai,-10.6167,150.6667,83.73,75,87,7.78,PG,1671240578
294,ucluelet,48.9329,-125.5528,39.51,82,31,1.34,CA,1671240580
295,portland,45.5234,-122.6762,39.81,70,20,10.0,US,1671240360
296,kirakira,-10.4544,161.9205,86.02,64,13,5.82,SB,1671240311
297,demirci,39.0461,28.6589,48.97,85,100,3.38,TR,1671240583
298,itarare,-24.1125,-49.3317,63.12,88,71,3.89,BR,1671240584
299,kirovskiy,45.0917,133.5136,2.64,70,67,4.25,RU,1671240586
300,benguela,-12.5763,13.4055,74.1,79,100,2.39,AO,1671240587
301,hays,30.0502,-98.0336,45.68,70,91,3.0,US,1671240472
302,ribeira grande,38.5167,-28.7,66.78,90,100,25.99,PT,1671240590
303,minab,27.1467,57.0801,55.72,67,0,0.0,IR,1671240591
304,gravdal,68.1214,13.5031,33.12,53,97,23.47,NO,1671240592
305,mount gambier,-37.8333,140.7667,65.71,52,31,10.78,AU,1671240594
306,lamu,-2.2717,40.902,77.22,84,17,7.67,KE,1671240595
307,bloemfontein,-29.1211,26.214,58.48,100,35,2.3,ZA,1671240564
308,husavik,66.0449,-17.3389,9.55,83,100,12.21,IS,1671240598
309,wattegama,6.7989,81.4808,70.54,91,25,3.87,LK,1671240599
310,calabozo,8.9242,-67.4293,79.02,55,33,4.94,VE,1671240600
311,purwa,26.4667,80.7833,50.02,40,0,4.07,IN,1671240602
312,caernarfon,53.1413,-4.2702,45.68,58,75,12.66,GB,1671240603
313,broken hill,-31.95,141.4333,76.87,20,1,13.69,AU,1671240604
314,havoysund,70.9963,24.6622,28.63,86,100,14.79,NO,1671240606
315,la plata,-34.9215,-57.9545,64.81,61,100,11.65,AR,1671240480
316,korsakov,46.6328,142.7813,17.44,68,90,17.87,RU,1671240608
317,ambanja,-13.6833,48.45,73.67,92,100,2.24,MG,1671240610
318,fort-shevchenko,44.5086,50.263,42.71,66,98,5.93,KZ,1671240611
319,george town,5.4112,100.3354,80.89,90,20,5.75,MY,1671240466
320,malinyi,-8.9333,36.1333,70.63,78,92,1.57,TZ,1671240614
321,shingu,33.7333,135.9833,47.64,74,100,4.45,JP,1671240615
322,nara,34.6851,135.8049,43.97,64,100,6.2,JP,1671240616
323,jalingo,8.8833,11.3667,73.54,21,17,4.41,NG,1671240618
324,dingle,10.9995,122.6711,83.37,74,39,13.24,PH,1671240619
325,weyburn,49.6668,-103.8511,-1.98,84,16,17.27,CA,1671240620
326,cayenne,4.9333,-52.3333,75.24,94,75,2.3,GF,1671240622
327,najran,17.4924,44.1277,50.65,42,100,0.76,SA,1671240623
328,petrivka,46.9695,30.9591,50.61,98,100,11.03,UA,1671240625
329,pucallpa,-8.3791,-74.5539,77.04,83,75,2.3,PE,1671240626
330,jieshi,22.8134,115.8257,52.97,73,100,23.35,CN,1671240627
331,babahoyo,-1.8167,-79.5167,81.03,59,100,2.86,EC,1671240629
332,mahebourg,-20.4081,57.7,76.24,78,40,6.91,MU,1671240630
333,bom jesus da lapa,-13.255,-43.4181,71.29,90,100,2.13,BR,1671240622
334,aurangabad,19.8833,75.3333,70.84,73,12,4.74,IN,1671240633
335,waipawa,-41.4122,175.5153,62.65,91,100,3.65,NZ,1671240634
336,rocha,-34.4833,-54.3333,59.61,71,49,6.4,UY,1671240635
337,winslow,35.0242,-110.6974,30.38,59,0,3.44,US,1671240466
338,brownwood,31.7093,-98.9912,42.12,47,20,5.75,US,1671240638
339,aksarayskiy,46.7924,48.0119,32.85,85,96,4.65,RU,1671240639
340,cabedelo,-6.9811,-34.8339,79.47,73,19,10.8,BR,1671240640
341,eureka,40.8021,-124.1637,47.25,89,5,2.28,US,1671240344
342,nampula,-15.1165,39.2666,70.47,94,100,4.09,MZ,1671240643
343,rawah,34.4816,41.9093,54.34,76,0,8.28,IQ,1671240644
